question,answer,ground_truth,contexts
O que é um Firewall?,"Um firewall é um dispositivo de segurança ou software projetado para monitorar, controlar e filtrar o tráfego de rede de entrada e saída com base em predefinições aplicadas. Ele ajuda a bloquear o acesso não autorizado às redes internas enqueneros, mantendo as ameaças externas fora delas.",Dispositivo que filtra o tráfego de rede baseado em regras.,[]
O que é Zero Trust?,"Zero Trust é uma abordagem de segurança baseada na confiança zero em nenhuma entidade dentro ou fora da rede, onde a verificação constante e múltipla são obrigatórias. É um modelo que visa proteger os dados corporativos mesmo quando esses estão no exterior do local principal de trabalho por meio de políticas de autenticar continuamente as solicitações sem desconfiar.",Modelo de segurança que não confia em ninguém por padrão.,[]
O que é um Cavalo de Troia (Trojan)?,"Um Cavalo de Troia, ou Trojan, no contexto da cibersegurança, refere-se a um tipo de malware criptografado e disfarçado em uma comunicação legítima. É projetado para ser executado por meio do desmontagem das defesas normais, normalmente ao contornar protocolos seguidos durante o download ou a instalação de software. O nome é derivado da lenda da Ilíada, onde os troianos usavam uma enorme estátua para entrar na cidade e conquistá-la. No caso dos Trojans digitais, eles costumam servir como portões seguros (backdoors) que permitem ao atacante acesso aos sistemas infectados posteriormente.",Programa malicioso disfarçado de software legítimo.,[]
O que é um ataque de Força Bruta?,"Um ataque de força bruta é uma tentativa de resolver ou acessar algo por meio da tentação e teste aleatório, sem aplicação de inteligência. Isso geralmente envolve procurar todas as combinações possíveis até encontrar o que funciona.",Tentativa de adivinhar senhas por tentativa e erro exaustivo.,[]
O que é Cross-Site Scripting (XSS)?,"Cross-Site Scripting, ou XSS, refere-se a um tipo de vulnerabilidade no qual ataques maliciosos são inseridos em sites populares e visitados pelo usuenerio. Essas tentativas geralmente envolvem scripts que podem se propagar entre os usuários para roubar informações privadas, como nomes reais ou detalhes de contas bancárias.",Injeção de scripts maliciosos em páginas web visualizadas por outros.,[]
O que é uma VPN?,"VPN, ou Rede Virtual Privada, é um serviço pela internet que permite acessar recursos no lado da rede remota como se estivesse localizado fisicamente naquela região. Ela cria uma conexão segura e criptografada entre o usurante original e os servidores de destino, oferecendo privacidade, anonimato e a capacidade de contornar restrições geográficas ou bloqueios à internet.",Rede privada virtual que cria um túnel criptografado na internet.,[]
O que é um Honeypot?,"Um honeypot, também conhecido como sistema ou rede doce, é uma ferramenta usada em cibersegurança para atrair e estudar tentativas de intrusão. Trata-se de sistemas projetados com vulnerabilidades intencionais que dificultam a detecção por atacantes potenciais enquinhando suas próprias defesas, criando uma ilusão única para os invasores se aproximarem do sistema desprotegido. As ferramentas de honeypot podem ser tanto hardware quanto software e são usadas principalmente para identificar a natureza dos riscos à segurança da rede e como responder ao mesmo.",Sistema armadilha projetado para atrair e estudar atacantes.,[]
O que é um exploit de Dia Zero (0-day)?,"Um exploit de Dia Zero, também conhecido como zero-day vulnerabilidade, é uma falha em software descoberta e explorada antes da empresa desenvolvedora ou distribuidora ter tido a chance de repará-la. Isso significa que os atacantes podem aproveitar essa vulnerabilidade para realizar atividades maliciosas sem que o proprietário do sistema tenha nenhum aviso prévio das fraquezas nas defesas contra ciberataques.",Ataque que explora vulnerabilidade desconhecida pelo fabricante.,[]
O que é Engenharia Social?,"Engenharia Social, também conhecido como ciberguerra social ou hacking no sentido não criminoso, envolve o uso de táticas psicológicas para influenciar e manipular grupos em prol da mudança política ou social. Os praticantes frequentemente se utilizam das redes sociais para promover causas específim através do engajamento comunitário, mas também podem ser usados por organizações maliciosas para criar tensão e discórdia entre as comunidades.",Manipulação psicológica de pessoas para obter dados sigilosos.,[]
O que é o OWASP?,"O Open Web Application Security Project (OWASP) é uma organização sem fins lucrativos dedicada a aumentar a segurança das aplicações web, especialmente contra ataques cibernéticos. Eles fornecem recursos gratuitos como o guia de segurança para aplicações da web e reuniões periódicas conhecendo como Asas Semanas (HackAs).",Fundação focada na segurança de software e aplicações web.,[]
