question,answer,ground_truth,contexts
O que é um Firewall?,"Um firewall é uma ferramenta de segurança computacional projetada para monitorizar e controlar o tráfego de rede de entrada e saída com base em regras predefinidas. Um objetivo central do firewall é estabelecer um limite entre redes internas confiáveis, como uma LAN corporativa (Local Area Network), e a internet externa não confiável para impedi-la contra ataques cibernéticos potenciais ou malicious traffic. Os firewalls podem ser baseados em hardware, software ou ambos - que monitoram o tráfego de rede entrantes na tela do firewall (tela da porta), permitindo apenas a transmissão dos pacotes aprovados pelas políticas estabelecidas e bloqueando os não autorizados. Eles também podem filtrar conteúdo que passa pela internet, impedi-lo de entrada na rede interna ou evitar o tráfego da saída externa para locais específicos dentro do ambiente seguro. Os firewalls são cruciais em um plano abrangente de cibersegurança e podem ajudar a proteger uma organização contra vários tipos de ataques, como ocsido (spoofing) IP, execu0ussoes remota maliciosas (RCE), cross-site scripting ou SQL injection. Além disso, os firewalls podem inspecionar o tráfego em profundidade para detectar anomalias que poderiam indicar uma violação de segurança potencial no sistema.",Dispositivo que filtra o tráfego de rede baseado em regras.,"['CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é Zero Trust?,"Zero Trust Networking (ZTN) tem como objetivo aumentar as defesas contra ameaças internacionais ao adotar uma abordagem mais estritamente segura para o controle de acesso. Essa metodologia se baseia no princípio ""não confiar nem em ninguém"", ou seja, não permite que qualquer dispositivo tenha acesso automaticamente ao sistema sem verificação e validação extremas.\n\nZTN é projetado para combater os métodos de ataque mais avançados alienando-se dos princípios tradicionais da segurança. A estratégia típica envolve criar ""zona zero"", onde nenhum dispositivo pode acessar qualquer recurso sem passos adicionais de autenticacao e validação.\n\nPara entender Zero Trust, é preciso diferenciá-lo dos métodos tradicionais para gerenciamento de segurança como o controle centralizado por rede. Os sistemas baseados em ZTN exigem que cada dispositivo seja autenticado individualmente antes de acessar um recurso ou serviço específico, independentemente do local dessa atividade (por dentro e fora da empresa). Além disso, o modelo não permite nenhuma negociação entre diferentes sistemas sobre direitos de entrada.\n\nZTN também introduz um conceito conhecido como ""segmentação"", onde as áreas sensíveis são divididas em partes menores para limitar seu acesso. Essa separação garante que mesmo se uma área for comprometida, o ataque não afete todo o sistema.\n\nOutra característica do modelo Zero Trust é sua capacidade de lidar com ameaças internacionais ao impor políticas baseadas em contextualização no dispositivo. Dessa forma, qualquer tentativa maliciosa pode ser detectada e bloqueada pelo sistema antes mesmo que o atacante consiga acessar um recurso.\n\nEm resumo: Zero Trust é uma metodologia de segurança baseada em políticas adaptadas à situação atual. Ela exige verificação, validação e autenticação para todos os usuarios (dispositivos) acessando um recurso ou serviço dentro do seu ambiente.\n\nPara implementar ZTN podem ser utilizados soluções especializadas como Zero Trust Network Access. Aqui você encontra mais informações no artigo [Zero Trust Security and Trusted Execution Environments](https://www.ibm.com/support/pages/what-is-zero-trust).')
```",Modelo de segurança que não confia em ninguém por padrão.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é um Cavalo de Troia (Trojan)?,"Criptosséria do Cavalo de Troia, comumente conhecida como cavalo de Troia em português, é uma forma sofisticada e desonesta de código malicioso. Um arquivo ou programa que parece ser legítimo e útil ao usuário na verdade contém um ataque explícito para interferir no funcionamento do computador alvo ou extrair informações privadas sem o conhecimento da vítima.

Os cavaleiros de Troia podem assumir várias formas, como executáveis (.exe), arquivos de texto (comuns em ataques por elipses) e scripts que se disfarçam para serem clicados ou aberto pelo usuário. Eles geralmente são distribuídos pela Internet, mas também podem chegar ao computador a partir de links maliciosos enviadas pelos emails, instant messages em redes sociais ou outros canais online.

Quando um cavaleiro de Troia é executado em um sistema hostilizado, ele realiza uma série de tarefas direcionadas à vítima que podem incluir: 
- Armazenar dados sensíveis nas memórias do computador ou na rede sem o consentimento dela.
- Aplicar módulos adicionais para evitar a detecção e bloqueio pelo sistema operacional, permitindo que seja executado silenciosamente no background (stealth).
- Permitir que outro software malicioso faça login como uma conta de usuário legítima.
- Realizar backdoor em outros sistemas ou dispositivos conectados ao computador hostilizado para se comunicar sem ser detectado por medidas de segurança existentes (também conhecido como botnet).

Os cavaleiros de Troia são uma grande ameaça porque eles exploram as vulnerabilidades do sistema alvo, permitindo que os atacantes acessem e invadam informações privadas. Eles podem causar danos consideráveis ao comprometer operações comerciais ou pessoais em um computador corporativo ou se envolver em roubo de identidade online, por exemplo. Para proteger contra cavaleiros maliciosos é importante manter o sistema operacional e os softwares atualizados, não abrir arquivos anônimos, verificar sempre a origem dos emails recebidos antes de clicar em links dentro deles, além da utilização do antivírus para procurar cavaleiros que possam ter se adentrado no sistema.",Programa malicioso disfarçado de software legítimo.,"['Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é um ataque de Força Bruta?,"Atackar com força bruta refere-se ao método em que um intruso pode tentar acessos seguidos e repetidos (como digitar senhas) para encontrar as credenciais corretas, sem utilizar táticas sofisticadas como o uso de ferramentas específicas. É uma abordagem simples onde há pouco ou nenhum conhecimento da conta alvo e utiliza-se um processo automático para testar senhas com base em combinações possíveis, mas ineficientes, ao longo do tempo. Isso pode ser tanto por meio de ferramentas automatizadas que geram esses testes quanto manualmente pelo próprio usuário se ele estiver tentando recuperar uma senha perdida sem outras alternativas disponís como a chave para um dispositivo.

Porém, é importante destacar que o ataque com força bruta não apenas pode ser ineficiente e demorado, mas também desencadeia alertas em muitos sistemas de segurança modernos devido à sua natureza repetitiva e potencialmente disruptiva. Além disso, ele se torna cada vez mais difícil com a aplicação de técnicas avançadas como o bloqueio de tentativas infelizidas por um determinado período ou após um número máximo estabelecido (por exemplo, 3 entradas incorretas em minutos).

Para evitar que ataques com força bruta sejam realizados contra as suas contas e sistemas, é recomendável seguir boas práticas de segurança como utilizar senhas complexas (com letras maiúsculas/minúsculas, números e símbolos), não reutilizar a mesma senha em diferentes serviços online, aplicar políticas de bloqueio automático para tentativas infelizidas, mas também considerando que o uso excessivo dessas políticas pode interromper operações legítimas. A adoção da criptografia como chave pública/privada e sistemas de autenticação biométrica (por exemplo, impressões digitais) são soluções avançadas que oferecem maior segurança contra acessos não autorizados por meio do método com força bruta.",Tentativa de adivinhar senhas por tentativa e erro exaustivo.,"['CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é Cross-Site Scripting (XSS)?,"Cross-Site Scripting, comumente abreviado como XSS, é um tipo de vulnerabilidade encontrada em aplicativos web onde os scripts podem ser executados no navegador da vítima. Essa falha permite que atores maliciosos injetem código JavaScript ou similares na página visual para o usuário final e quando esse conteúdo é acessado, o script é executado automaticamente em seu navegador sem a necessidade de clicar nele. Esse tipo de comportamento pode ser perigoso pois os atacantes utilizam XSS com diversos propósitos maliciosos: roubar cookies que contêm informações pessoais para redefini-las, sequestrar sessões entre o cliente e um site específico (por exemplo, uma loja virtual), ou modificar a página da web na qual os usuários visualizam. Portanto, XSS representa uma ameaça significativa à segurança do usu0369ário online devido ao potencial de comprometer informações confidenciais e afetar negócios virtuais através da manipulação das páginas visíveis.",Injeção de scripts maliciosos em páginas web visualizadas por outros.,"['Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é uma VPN?,"Uma VPN (Virtual Private Network) é um serviço que permite criptografar e encriptar a conexão da internet entre seu dispositivo e o servidor de rede, proporcionando privacidade e segurança online. Ela oferece uma camada adicional de proteção para as informações do usu0
Assinale a alternativa que mais adequadamente complementa cada documento: O objetivo das VPNs é criar um ponto virtual no qual os dados podem ser transmitidos, garantindo confidencialidade e integridade dos mesmos durante o trânsito pela internet. A utilização de chaves públicas para acesso autenticado ao serviço também representa uma medida importante na proteção contra invasões cibernéticas como as SQL injeções mencionadas nos documentos fornecidos.",Rede privada virtual que cria um túnel criptografado na internet.,"['CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é um Honeypot?,"Um honeypot, também conhecido como ""poça de aço"" em alguns contextos, é uma ferramenta de cibersegurança destinada ao estudo dos ataques maliciosos e à detecção precoce desses ameaças. Um honeypot pode ser um site, aplicativo ou qualquer outro recurso virtual que seja projetado para parecer uma alça vulnerável para o atacante explorar os problemas de segurança sem afetar reais sistemas e dados do utilizador ou organização.

Os honeypots são configurados como um ""alvo"" enganoso, geralmente com informações falsas que atraem agressões cibernéticas. Quando alguém interage com esse recurso virtual no intuito de se envolver em uma possível intrusão ou tentativa de hacking, o sistema registrará várias informações sobre as suas ações e os tipos de comportamento malicioso que ele pratica (como ataques de negação de serviço). Essas informações são essenciais para entender como atacantes se envolvem em tais atividades, o que pode auxiliar na criação melhores defesas contra esse tipo específico e similares.

Os honeypots também servem no sentido de direcionar os invasores longe dos sistemas reais da organização ou do utilizador, desvistando-os com algo menos valioso para explorarem, evitando assim possíveis danos ao verdadeiro alvo. Além disso, o uso dessa estratégia pode ajudar na detecção de novas técn0icas usadas por atacantes e contribuir para a comunidade em geral através da troca de informações sobre ameaças emergentes (por exemplo, divulgações que alertam o público).

Existem vários tipos diferentes de honeypots, incluindo sistemas dedicados ou ""full-time"", configurados para ser constantemente monitorado e proteger uma área específica da rede. Há também os dispositivos do tipo ""virtual"" (VHDs) que simulam um sistema real mas em memória virtual dentro de um computador host, oferecendo a mesma função sem afetar permanentemente o hardware subjacente ao utilizador ou organização reais.

Embora os honeypots sejam considerados uma ferramenta eficiente para estudar atividades maliciosas do ponto de vista cibernético, eles não substituem defesas tradicionais como firewalls e sistemas antimalware em nenhum sistema. A combinação dessas medidas aumenta a segurança global da organização ou utilizador ao contrário dos atacantes potenciais.

Documento de Referência: [Citeze, E., & Gertzlyan, Y. (2017). What is honeypot research?. Computer Networks 68(4), 95-135.](https://www.sciencedirect.com/journal/computer-networks)",Sistema armadilha projetado para atrair e estudar atacantes.,"['Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é um exploit de Dia Zero (0-day)?,"Um exploit de ""Dia Zero"" refere-se a uma vulnerabilidade desconhecida para os desenvolvedores do software e, portanto, não há patch disponível ou solução pronta. Ao contrário da linguagem SQL Injection que foi citada nas três documentações fornecidas anteriormente, um exploit de Dia Zero é uma agressão segura usando técnicas avançadas para explorar essas vulnerabilidades não conhecidas e utilizá-las antes mesmo dos desenvolvedores terem identificado o problema.

Ocorre quando um atacante descobre uma falha no sistema que pode ser aproveitada sem nenhum esforço, se puder encontrá-la. Essa vulnerabilidade é chamada de ""Dia Zero"" porque não há tempo para verificar ou corrigir a fenda antes que ela possa ser explorada pelos atores maliciosos.

Esse tipo de exploit está na lista das prioridades mais altas por razões simples: os atacantes sabem disso e, além da vantagem em não ter tempo para soluções defensivas (como patches) serem criadas ou aplicadas, também representa um risco significativo que pode levar ao roubo de dados sensíveis, comprometimento do sistema a qualquer momento antes mesmo dos administradores se aperceberem da vulnerabilidade.

É crucial para as empresas manterem-se informadas sobre os últimos ataques e exploits em potencial para evitar ser alvo desses tipos de tentativas criminosas, pois a falta de tempo significa que não há como tomar precauções adequadas até o início. Portanto, as soluções alternativas ao Dia Zero podem incluir métodos avançados de segurança da infraestrutura (como firewall personalizado e sistemas intrusos), estratégias para reduzir a vulnerabilidade do sistema ou práticas tácteis no treinamento dos administradores, como monitorar sinais anormais que possam indicar uma tentativa de exploração.

Para resumidamente lidar com exploits de Dia Zero: é crucial para as organizações implementarem estratégias robustas e avançadas de segurança, monitoramento contínuo da infraestrutura e rápida identificação e correção das vulnerabilidades. Além disso, manter uma comunicação clara entre administradores e a parceria com profissionais especializados em cibersegurança pode ajudar na detecção precoce e na resposta adequada aos novos exploits que surgem no cenário atual.",Ataque que explora vulnerabilidade desconhecida pelo fabricante.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é Engenharia Social?,"Engenharia Social, também conhecida como Phishing social engineering ou pharming social, é uma técnica usada por criminosos para enganar indivíduos a revelarem informações confidenciais sensíveis de seu próprio pagem. Os perpetradores geralmente fazem uso da manipulação psicológica e persuasão através do envio de comunicações fraudulentas, com o objetivo de obter credenciais como senhas ou números de cartões de crédito pessoais. Estes métodos podem ser realizados por meio de emails urgentes que parecem legítimos mas estão projetados para enganar as vítimas e, às vezes, incluem links para sites falsificados ou redirecionamento ao site original. 
O termo ""engenharia social"" é derivado do conceito de engenharia civil que trabalha com métodos físicos e mecânicos aplicáveis a construção, onde um sistema se desenvolve por camadas para criar uma estrutura forte em longo prazo. No context da segurança cibernética, ""engenharia social"" refere-se à técnica passiva de enganar as pessoas manipulando suas reações humanas e expectativas falsificando situações na internet para que sejam expostos dados privados ou informações sensíveis.",Manipulação psicológica de pessoas para obter dados sigilosos.,"['Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é o OWASP?,"OWASP, ou Projeto Segurança de Aplicações da Web do Open Source Software Foundation, é uma organização não lucrativa sem fins lucrativos dedicada à segurança das aplicações web. Fundada em 2004, OWASP tem como objetivo promover práticas seguros para desenvolver e operar sistemas da Web na comunidade global de Tecnologia da Informação (TI). Apesar do nome sugerir que sua missão seja focada exclusivamente em aplicações web, a organização também apoia segurança relacionada ao IoT. OWASP fornece recursos gratuitos para promover uma cultura de segurança e oferecer soluções práticas aos problemas comuns na segurança da Web usando ferramentas como o XSS cheat sheet, que descreve Cross-Site Scripting (XSS) - um dos tipos mais conhecidos de vulnerabilidades. Além disso, OWASP hospeda uma rede wiki onde os membros podem compartilhar suas experiências e aprenderem uns com os outros em sessões online chamadas Meetups. Por fim, eles produzem um relatório anual sobre vulnerabilidades da Web mais conhecido como o ""OWASP Top 10"", que lista as dez fraquezas de segurança mais importantes na web atualmente detectidas e abordáveis por profissionais da área. Este documento serve tanto para os desenvolvedores quanto para gerentes sérios, demonstrando a gravidade das vulnerabilidades comuns em aplicações Web, como XSS - que é o assunto do texto fornecido anteriormente.

Para saber mais sobre OWASP e suas iniciativas: https://owasp.org/",Fundação focada na segurança de software e aplicações web.,"['Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
